AUDIO!SoundEffectUnsafeNativeMethods::SubmitPacket	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Int32,System.Int32,System.Int32	HANDLE
Audio!XActCue_Destroy	System.UInt32	System.UInt32	unknown
Audio!XActCue_GetState	System.UInt32	System.UInt32	unknown
Audio!XActCue_GetVariable	System.UInt32	System.UInt32,System.String,System.Int32,ref:System.Single	unknown
Audio!XActCue_Pause	System.UInt32	System.UInt32,System.UInt32	unknown
Audio!XActCue_Play	System.UInt32	System.UInt32	unknown
Audio!XActCue_SetVariable	System.UInt32	System.UInt32,System.String,System.Int32,System.Single	unknown
Audio!XActCue_Stop	System.UInt32	System.UInt32,System.UInt32	unknown
Audio!XActEngine_Apply3D	System.UInt32	System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Audio.UnsafeNativeStructures/XACT_LISTENER_DATA,ref:Microsoft.Xna.Framework.Audio.UnsafeNativeStructures/XACT_EMITTER_DATA	unknown
Audio!XActEngine_CreateAndInitEngine	System.UInt32	System.String,System.Int32,System.UInt32	unknown
Audio!XActEngine_CreateInMemoryWaveBank	System.UInt32	System.UInt32,System.String,System.Int32	unknown
Audio!XActEngine_CreateSoundBank	System.UInt32	System.UInt32,System.String,System.Int32	unknown
Audio!XActEngine_CreateStreamingWaveBank	System.UInt32	System.UInt32,System.String,System.UInt32,System.UInt32,System.Int16	unknown
Audio!XActEngine_DoWork	System.Void	System.UInt32	unknown
Audio!XActEngine_GetCategory	System.UInt16	System.UInt32,System.String,System.Int32	unknown
Audio!XActEngine_GetGlobalVariable	System.UInt32	System.UInt32,System.String,System.Int32,ref:System.Single	unknown
Audio!XActEngine_Pause	System.UInt32	System.UInt32,System.UInt16,System.UInt32	unknown
Audio!XActEngine_Release	System.UInt32	System.UInt32	unknown
Audio!XActEngine_SetGlobalVariable	System.UInt32	System.UInt32,System.String,System.Int32,System.Single	unknown
Audio!XActEngine_SetVolume	System.UInt32	System.UInt32,System.UInt16,System.Single	unknown
Audio!XActEngine_Stop	System.UInt32	System.UInt32,System.UInt16,System.UInt32	unknown
Audio!XActSoundBank_Destroy	System.UInt32	System.UInt32	unknown
Audio!XActSoundBank_GetCue	System.UInt32	System.UInt32,System.String,System.Int32,ref:System.UInt32	unknown
Audio!XActSoundBank_GetState	System.UInt32	System.UInt32	unknown
Audio!XActSoundBank_PlayCue	System.UInt32	System.UInt32,System.String,System.Int32	unknown
Audio!XActWaveBank_Destroy	System.UInt32	System.UInt32	unknown
Audio!XActWaveBank_GetState	System.UInt32	System.UInt32	unknown
Kernel32.dll!CloseHandle	System.Int32	System.IntPtr	unknown
Kernel32.dll!CreateEvent	System.IntPtr	ref:Microsoft.Xna.Framework.UnsafeNativeMethods/SecurityAttributes,System.Boolean,System.Boolean,System.IntPtr	unknown
Kernel32.dll!CreateFileMapping	System.IntPtr	System.IntPtr,ptr:Microsoft.Xna.Framework.UnsafeNativeMethods/SecurityAttributes,System.Int32,System.Int32,System.Int32,System.String	unknown
Kernel32.dll!MapViewOfFile	System.IntPtr	System.IntPtr,System.Int32,System.Int32,System.Int32,System.Int32	unknown
Kernel32.dll!SetEvent	System.Int32	System.IntPtr	unknown
Kernel32.dll!UnmapViewOfFile	System.Int32	System.IntPtr	unknown
Kernel32.dll!WaitForMultipleObjects	System.Int32	System.Int32,ptr:System.IntPtr,System.Boolean,System.Int32	unknown
MEDIA!Imaging_CloseKernelStream	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	HANDLE
MEDIA!Imaging_CreateKernelMemoryStream	Microsoft.Xna.Framework.ErrorCodes	ptr:System.Byte,System.Int32,ptr:System.UInt32	unknown
MEDIA!Imaging_CreateKernelStreamForManagedStream	Microsoft.Xna.Framework.ErrorCodes	System.IntPtr,System.IntPtr,System.IntPtr,System.IntPtr,ptr:System.UInt32	unknown
MEDIA!Imaging_EncodeBufferToStream	Microsoft.Xna.Framework.ErrorCodes	struct:Microsoft.Xna.Framework.XnaImageFormat,ptr:System.Byte,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,ptr:System.UInt32	unknown
MEDIA!Imaging_GetStreamLength	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ptr:System.Int64	unknown
MEDIA!Imaging_ReadFromStream	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ptr:System.Byte,System.Int32,ptr:System.Int32	unknown
MEDIA!Imaging_SeekInStream	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Int64,System.Int32,ptr:System.Int64	unknown
MEDIA!Media_Album_GetArtist	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Album_GetDuration	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Album_GetGenre	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Album_GetSongs	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Artist_GetAlbums	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Artist_GetSongs	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Genre_GetAlbums	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Genre_GetSongs	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Item_GetName	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,sb,System.UInt32	unknown
MEDIA!Media_Item_IsEqual	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.UInt32,ref:System.Boolean	unknown
MEDIA!Media_Library_CreateLibrary	Microsoft.Xna.Framework.ErrorCodes	System.Int32,ref:System.UInt32	unknown
MEDIA!Media_Library_DestroyLibrary	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	HANDLE
MEDIA!Media_Library_GetAlbums	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Library_GetArtists	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Library_GetGenres	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Library_GetMediaSourceCount	Microsoft.Xna.Framework.ErrorCodes	ref:System.Int32	unknown
MEDIA!Media_Library_GetMediaSources	Microsoft.Xna.Framework.ErrorCodes	ptr:System.Byte,System.UInt32,System.Int32	unknown
MEDIA!Media_Library_GetPlaylists	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Library_GetSongs	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_List_GetCount	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_List_GetItemAtIndex	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Int32,ref:System.UInt32	unknown
MEDIA!Media_List_Release	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	HANDLE
MEDIA!Media_Player_CheckForEvents	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean,ref:System.Boolean	unknown
MEDIA!Media_Player_GameHasControl	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean	unknown
MEDIA!Media_Playlist_GetDuration	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Playlist_GetSongs	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Queue_EnableVisualization	Microsoft.Xna.Framework.ErrorCodes	System.Boolean	unknown
MEDIA!Media_Queue_GetActiveSongIndex	Microsoft.Xna.Framework.ErrorCodes	ref:System.Int32	unknown
MEDIA!Media_Queue_GetPlayPosition	Microsoft.Xna.Framework.ErrorCodes	ref:System.Int32	unknown
MEDIA!Media_Queue_GetPlayState	Microsoft.Xna.Framework.ErrorCodes	ref:Microsoft.Xna.Framework.Media.MediaState	unknown
MEDIA!Media_Queue_GetRepeat	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean	unknown
MEDIA!Media_Queue_GetShuffle	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean	unknown
MEDIA!Media_Queue_GetSongAtIndex	Microsoft.Xna.Framework.ErrorCodes	System.Int32,ref:System.UInt32	unknown
MEDIA!Media_Queue_GetSongCount	Microsoft.Xna.Framework.ErrorCodes	ref:System.Int32	HANDLE
MEDIA!Media_Queue_GetVisualizationData	Microsoft.Xna.Framework.ErrorCodes	System.Single[],System.Int32,System.Single[],System.Int32	unknown
MEDIA!Media_Queue_GetVolume	Microsoft.Xna.Framework.ErrorCodes	ref:System.Single	unknown
MEDIA!Media_Queue_IsMuted	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean	unknown
MEDIA!Media_Queue_IsVisualizationEnabled	Microsoft.Xna.Framework.ErrorCodes	ref:System.Boolean	unknown
MEDIA!Media_Queue_MoveNext	Microsoft.Xna.Framework.ErrorCodes		unknown
MEDIA!Media_Queue_MovePrev	Microsoft.Xna.Framework.ErrorCodes		unknown
MEDIA!Media_Queue_MoveTo	Microsoft.Xna.Framework.ErrorCodes	System.Int32	unknown
MEDIA!Media_Queue_Pause	Microsoft.Xna.Framework.ErrorCodes		unknown
MEDIA!Media_Queue_PlaySong	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
MEDIA!Media_Queue_PlaySongList	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Int32	unknown
MEDIA!Media_Queue_Resume	Microsoft.Xna.Framework.ErrorCodes		unknown
MEDIA!Media_Queue_SetMute	Microsoft.Xna.Framework.ErrorCodes	System.Boolean	unknown
MEDIA!Media_Queue_SetRepeat	Microsoft.Xna.Framework.ErrorCodes	System.Boolean	unknown
MEDIA!Media_Queue_SetShuffle	Microsoft.Xna.Framework.ErrorCodes	System.Boolean	unknown
MEDIA!Media_Queue_SetVolume	Microsoft.Xna.Framework.ErrorCodes	System.Single	unknown
MEDIA!Media_Queue_Stop	Microsoft.Xna.Framework.ErrorCodes		unknown
MEDIA!Media_Release	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	HANDLE
MEDIA!Media_Song_CreateHandle	Microsoft.Xna.Framework.ErrorCodes	System.String,System.UInt32,System.String,System.UInt32,System.Int32,ref:System.UInt32	unknown
MEDIA!Media_Song_GetAlbum	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Song_GetArtist	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Song_GetDuration	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Song_GetGenre	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_Song_GetPlayCount	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Song_GetRating	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Song_GetTrackNumber	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_Song_IsRestricted	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Boolean	unknown
MEDIA!Media_VideoDecoder_Create	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.String,System.UInt32,System.UInt32,System.UInt32,System.Boolean,System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_VideoDecoder_GetPlayPosition	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:System.Int32	unknown
MEDIA!Media_VideoDecoder_GetState	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,ref:Microsoft.Xna.Framework.Media.MediaState	unknown
MEDIA!Media_VideoDecoder_GetTexture	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.UInt32,System.UInt32,ref:System.UInt32	unknown
MEDIA!Media_VideoDecoder_Pause	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
MEDIA!Media_VideoDecoder_Release	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
MEDIA!Media_VideoDecoder_Resume	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
MEDIA!Media_VideoDecoder_SetLooping	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Boolean	unknown
MEDIA!Media_VideoDecoder_SetMute	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Boolean	unknown
MEDIA!Media_VideoDecoder_SetVolume	Microsoft.Xna.Framework.ErrorCodes	System.UInt32,System.Single	unknown
MEDIA!Media_VideoDecoder_Start	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
MEDIA!Media_VideoDecoder_Stop	Microsoft.Xna.Framework.ErrorCodes	System.UInt32	unknown
